Phillips,Wade,Buffalo,HC
Atlanta QB,,Atlanta,QB
Tennessee QB,,Tennessee,QB
Dillion,Corey,Cincinnati,RB
Hicks,Skip,Washington,RB
Murrell,Adrian,Arizona,RB
Watters,Ricky,Seattle,RB
Ismail,Raghib,Dallas,WR
Moore,Herman,Detroit,WR
Moore,Rob,Arizona,WR
Owens,Terrell,San Francisco,WR
Drayton,Troy,Miami,TE
Wycheck,Frank,Tennessee,TE
New England K,,New England,K
Tennessee K,,Tennessee,K
Seattle OL,,Seattle,OL
Hansen,Phil,Buffalo,DL
Russell,Darrell,Oakland,DL
Washington,Ted,Buffalo,DL
Fields,Mark,New Orleans,DL
Mobley,John,Denver,LB
Rudd,Dwayne,Minnesota,LB
Smith,Darrin,Seattle,LB
Buchanan,Ray,Atlanta,DB
McDonald,Tim,San Francisco,DB
Woodson,Rod,Baltimore,DB
Turner,Norv,Washington,HC
Coughlin,Tom,Jacksonville,HC
Carolina QB,,Carolina,QB
Jacksonville QB,,Jacksonville,QB
Biakabutuka,Tim,Carolina,RB
Dunn,Warrick,Tampa Bay,RB
George,Eddie,Tennessee,RB
Williams,Ricky,New Orleans,RB
Galloway,Joey,Seattle,WR
Mayes,Derrick,Seattle,WR
Muhammad,Mushin,Carolina,WR
Thigpen,Yancey,Tennessee,WR
Jones,Freddie,San Diego,TE
Miami K,,Miami,K
Tennessee OL,,Tennessee,OL
Kansas City OL,,Kansas City,OL
Randle,John,Minnesota,DL
Rice,Simeon,Arizona,DL
Young,Bryant,San Francisco,DL
Brown,Chad,Seattle,LB
Minter,Barry,Chicago,LB
Rainer,Wali,Cleveland,LB
Spikes,Takeo,Cincinnati,LB
Bailey,Champ,Washington,DB
Beasley,Aaron,Jacksonville,DB
Spings,Shawn,Seattle,DB
Woodson,Charles,Oakland,DB
Shanahan,Mike,Denver,HC
Green Bay QB,,Green Bay,QB
Detroit QB,,Detroit,QB
Indianapolis QB,,Indianapolis,QB
James,Edgerrin,Indianapolis,RB
Martin,Curtis,New York Jets,RB
