WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,Tot
HC,5647,Martz,0*,3*,0x,5x,0b,8
HC,1392,Vermeil,4x,5x,5 ,3*,3*,20
QB,5429,Garcia,17*,12*,-2*,-8*,16*,35
QB,3196,Kitna,1 ,7 ,4 ,19 ,-3 ,28
RB,5668,Alexander,18*,6*,0*,0b,9*,33
RB,4982,Barlow,0 ,8 ,0 ,1 ,-2 ,7
RB,6564,Betts,2 ,6 ,3 ,6*,0 ,17
RB,1237,Garner,17*,5*,0*,7*,3*,32
RB,3369,Pittman,0x,2x,19 ,0b,8 ,29
RB,2927,Smith,0 ,0 ,0x,1x,10x,11
WR,2913,Hilliard,-2x,11x,15 ,0b,3*,27
WR,3870,Holt,14*,8*,2*,21*,0b,45
WR,4929,Johnson,11*,11 ,1*,12*,2*,37
WR,2633,Johnson,4 ,9*,0 ,0b,0 ,13
WR,1623,Smith,0 ,0 ,0 ,0 ,11 ,11
TE,2680,Conwell,2x,6x,2x,3*,2*,15
TE,4082,Miller,1*,1*,1*,1x,0b,4
K ,6776,Cundiff,0x,27x,0b,5*,8*,40
K ,3944,Gramatica,5*,3*,7*,0b,5x,20
Off,614,San Diego,0*,8*,7*,20*,0*,35
DL,2977,Berry,7x,1x,8x,1*,1*,18
DL,3307,Holliday,13 ,1 ,4*,0*,1 ,19
DL,2333,Strahan,8*,1*,3*,0b,11*,23
DL,2969,Taylor,0*,1*,0 ,0b,2 ,3
LB,6597,Ayodele,15x,1 ,6 ,6x,3x,31
LB,4010,Barton,8*,8*,4 ,5*,7 ,32
LB,1916,Brown,8 ,9 ,4*,0b,8x,29
LB,6649,Davis,8x,11x,9x,6 ,4 ,38
LB,5747,Diggs,9 ,10*,2*,19*,1*,41
LB,5551,Maslowski,2*,5 ,4x,9x,5x,25
LB,6614,Thornton,2x,11x,10x,14 ,10*,47
DB,2928,Scott,4*,16*,6*,4*,5*,35
DB,2960,Sharper,2*,5*,8*,10*,10*,35
DB,4962,Wilson,2 ,5 ,6 ,5x,5x,23
,,Starter Points = ,107,96,43,108,84
,,Potential Points = ,127,103,89,144,105
,,Offensive Points = ,83,55,16,69,46
,,Defensive Points = ,24,41,27,39,38
,,Total Points For = ,60,20,0,35,24

Rednecks
,,Player/Week,1,2,3,4,5,Tot
HC,1534,Fisher,3*,0*,4*,4*,0*,11
QB,1064,Bledsoe,6 ,17*,-4*,14 ,5*,38
QB,5848,Brady,-8*,21 ,0 ,10 ,5 ,28
QB,6509,Carr,9x,4x,2x,9*,0b,24
QB,5667,Pennington,0 ,0 ,0x,0x,0b,0
RB,5838,Anderson,0x,7x,5x,0*,0 ,12
RB,4920,Bennett,0x,0x,0 ,0 ,0 ,0
RB,3950,Bryson,0x,4x,4x,2x,0*,10
RB,5654,Lewis,5*,35*,11*,15*,0b,66
RB,6951,McGahee,0 ,0 ,0 ,0 ,0 ,0
RB,6559,Portis,22*,6*,0*,0 ,19*,47
RB,7033,Smith,0 ,0 ,0 ,6x,4x,10
WR,4946,Chambers,22 ,3 ,7 ,0b,0*,32
WR,5727,Coles,5*,25*,9*,1*,1*,41
WR,4900,Robinson,6*,0*,12*,0b,5 ,23
WR,6930,Rogers,12 ,0 ,2 ,6 ,0 ,20
TE,4928,Crumpler,11*,8*,1*,2*,2*,24
TE,6563,Jolley,2 ,0 ,2 ,9 ,2 ,15
K ,6610,Chandler,18 ,6*,0x,0x,0x,24
K ,6887,Reed,10x,10x,4*,6*,7*,37
Off,627,Carolina,3x,10 ,0b,16*,15*,44
Off,624,Minnesota,7x,12 ,6*,3x,10x,38
Off,628,St. Louis,-2*,0x,6x,8x,0b,12
DL,5661,Ellis,9 ,9*,9*,6*,0b,33
DL,2768,Glover,3 ,0x,0b,3x,10x,16
DL,2923,Holmes,16x,8x,4x,0b,5*,33
DL,3880,Kearse,4*,3*,0 ,6 ,10*,23
DL,2922,Lang,1x,14 ,3*,2*,1x,21
DL,3879,McFarland,8 ,1x,4x,0b,3x,16
LB,1904,Biekert,8*,8*,3*,3*,2 ,24
LB,5551,Maslowski,2x,5x,4x,9x,5*,25
LB,3301,Spikes,15*,9*,5*,5*,3*,37
LB,6938,Suggs,3 ,4 ,8 ,3 ,0b,18
DB,6525,Buchanon,3x,26 ,1*,2x,0x,32
DB,5664,O'Neal,4 ,7*,4*,2*,6x,23
DB,2261,Taylor,2*,0x,0b,0x,0x,2
DB,2679,Tongue,8x,10x,10x,0b,5*,33
DB,6516,Williams,7*,4*,0b,8*,9*,28
,,Starter Points = ,78,137,68,79,86
,,Potential Points = ,148,178,78,101,91
,,Offensive Points = ,42,97,43,53,49
,,Defensive Points = ,36,40,25,26,37
,,Total Points For = ,0,67,15,28,15

Norsemen
,,Player/Week,1,2,3,4,5,Tot
HC,3486,Gruden,4*,0*,5*,0B,0*,9
QB,4925,Brees,9 ,4 ,-2 ,11 ,23 ,45
QB,3291,Manning,-3*,4*,11*,41*,18*,71
RB,6526,Duckett,0 ,12 ,0 ,6x,-1x,17
RB,3353,Green,18*,16*,1*,24*,18*,77
RB,6707,Peterson,0 ,0x,0b,0x,0x,0
RB,2968,Staley,1 ,4 ,0b,0 ,0 ,5
RB,3959,Zereoue,6*,0*,3*,11*,6*,26
WR,3942,Booker,2*,0 ,0b,0 ,9 ,11
WR,3413,Bradford,8x,0 ,0 ,0x,0b,8
WR,3896,Johnson,0x,8 ,11 ,3 ,6*,28
WR,3309,Moss,20*,0*,2*,33*,15*,70
WR,4907,Moss,0 ,14 ,0*,-2*,0b,12
WR,6528,Walker,9 ,0*,0 ,7 ,0 ,16
TE,2918,Gonzalez,1*,1*,1 ,7 ,7*,17
TE,2946,Jones,9 ,2 ,1*,0*,2x,14
K ,7198,Elling,13x,6x,5x,5 ,9 ,38
K ,3114,Hall,12*,9*,8*,8*,17*,54
Off,602,Indianapolis,2x,6x,5x,3*,5x,21
Off,615,Seattle,7*,8*,0*,0b,5*,20
