WMFFL Scoring Breakdown for 2003 Week #3
MeggaMen
Pos,ID,Player,Pts
HC,6497,Spurrier,0
QB,3445,Hasselbeck,12
RB,4954,Henry,0
RB,3298,Taylor,5
WR,5657,Burress,1
WR,2650,Moulds,0
TE,6575,Schobel,0
K ,5666,Janikowski,5
Off,623,Green Bay,5
DL,4897,Carter,3
DL,3344,Little,12
LB,5651,Arrington,13
LB,1914,Brooks,3
DB,2965,Barber,5
DB,3176,Knight,6

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,5
QB,3591,Fiedler,2
RB,3868,James,4
RB,1778,Martin,2
WR,2649,Harrison,0
WR,3367,Ward,6
TE,5663,Franks,1
K ,1197,Elam,7
Off,603,Miami,10
DL,6533,Grant,2
DL,3973,Smith,1
LB,5679,Bulluck,11
LB,3322,Cowart,12
DB,4911,Archuleta,6
DB,3098,Stoutmire,4

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,5
QB,3291,Manning,11
RB,3353,Green,1
RB,3959,Zereoue,3
WR,3309,Moss,2
WR,4907,Moss,0
TE,2946,Jones,1
K ,3114,Hall,8
Off,615,Seattle,0
DL,4894,Smith,0
DL,5535,Whitehead,6
LB,6957,Barnett,15
LB,5665,Peterson,9
DB,5734,Wesley,2
DB,6553,Williams,4

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,0
QB,1214,Favre,6
RB,3207,Holmes,21
RB,3869,Williams,12
WR,1095,Bruce,8
WR,4906,Gardner,6
TE,6522,Shockey,2
K ,3141,Mare,5
Off,629,New Orleans,0
DL,4037,Gregg,5
DL,2952,Wiley,2
LB,2536,Gildon,8
LB,3937,Porter,4
DB,6532,Reed,15
DB,4939,Smoot,8

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,4
QB,3995,Brooks,5
RB,2917,Dunn,0
RB,1213,Faulk,0
WR,5729,Jackson,6
WR,1844,Smith,0
TE,1825,Brady,1
K ,3143,Longwell,9
Off,611,Denver,13
DL,1982,Douglas,0
DL,2210,Sapp,13
LB,2711,Edwards,8
LB,3466,Wayne,0
DB,3328,Kelly,1
DB,2123,Marion,6

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,4
QB,1064,Bledsoe,-4
RB,5654,Lewis,11
RB,6559,Portis,0
WR,5727,Coles,9
WR,4900,Robinson,12
TE,4928,Crumpler,1
K ,6887,Reed,4
Off,624,Minnesota,6
DL,5661,Ellis,9
DL,2922,Lang,3
LB,1904,Biekert,3
LB,3301,Spikes,5
DB,6525,Buchanon,1
DB,5664,O'Neal,4

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,0
QB,3875,Culpepper,12
RB,2644,George,10
RB,4914,McAllister,0
WR,3872,Boston,5
WR,2656,Toomer,8
TE,6622,McMichael,2
K ,2842,Vinatieri,12
Off,630,San Fran,1
DL,5662,Abraham,2
DL,3894,Kerney,0
LB,3300,Brooking,8
LB,3900,Peterson,3
DB,2337,Harrison,3
DB,3390,Schulters,4

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,4
QB,1234,Gannon,0
RB,2938,Barber,6
RB,1294,Hearst,0
WR,1094,Brown,0
WR,2745,Horn,0
TE,1605,Sharpe,6
K ,4883,Feely,4
Off,612,Kansas City,12
DL,3527,Hicks,4
DL,2932,Pryce,0
LB,2651,Lewis,10
LB,2758,Thomas,5
DB,3312,Darius,2
DB,2376,Lassiter,4

Freezer Burn
Pos,ID,Player,Pts
HC,1560,Reeves,0
QB,1434,Maddox,6
RB,4895,Tomlinson,19
RB,2692,Williams,10
WR,2986,Mason,0
WR,2705,Owens,7
TE,4924,Heap,8
K ,1641,Stover,7
Off,601,Buffalo,0
DL,6517,Henderson,4
DL,2635,Rice,3
LB,3549,Fletcher,3
LB,2937,Sharper,4
DB,3905,Bly,13
DB,6513,Jammer,3

Werewolves
Pos,ID,Player,Pts
HC,5647,Martz,0
QB,5429,Garcia,-2
RB,5668,Alexander,0
RB,1237,Garner,0
WR,3870,Holt,2
WR,4929,Johnson,1
TE,4082,Miller,1
K ,3944,Gramatica,7
Off,614,San Diego,7
DL,3307,Holliday,4
DL,2333,Strahan,3
LB,1916,Brown,4
LB,5747,Diggs,2
DB,2928,Scott,6
DB,2960,Sharper,8

