WMFFL Scoring Breakdown for 2003 Week #4
Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,0
QB,3866,McNabb,1
RB,2917,Dunn,0
RB,2927,Smith,1
WR,3935,Bates,0
WR,1844,Smith,1
TE,1825,Brady,0
K ,3143,Longwell,8
Off,631,Baltimore,12
DL,4017,Coleman,4
DL,1982,Douglas,2
LB,2711,Edwards,11
LB,3466,Wayne,2
DB,4912,Clements,2
DB,2020,Glenn,1

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,4
QB,1062,Blake,-2
RB,6592,Gordon,6
RB,4914,McAllister,12
WR,4077,Driver,0
WR,6527,Lelie,8
TE,5676,Becht,0
K ,1873,Wilkins,15
Off,630,San Fran,5
DL,5662,Abraham,5
DL,3331,Mixon,4
LB,3300,Brooking,4
LB,6619,Taylor,3
DB,2337,Harrison,6
DB,3390,Schulters,2

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,41
RB,3353,Green,24
RB,3959,Zereoue,11
WR,3309,Moss,33
WR,4907,Moss,-2
TE,2946,Jones,0
K ,3114,Hall,8
Off,602,Indianapolis,3
DL,6510,Peppers,3
DL,5535,Whitehead,0
LB,6957,Barnett,5
LB,5665,Peterson,2
DB,5734,Wesley,13
DB,6553,Williams,4

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,3
QB,1755,McNair,18
RB,2714,Davis,19
RB,3868,James,0
WR,2649,Harrison,29
WR,3367,Ward,6
TE,5663,Franks,7
K ,1197,Elam,9
Off,609,Jacksonville,6
DL,4003,Dingle,2
DL,6533,Grant,3
LB,5679,Bulluck,8
LB,3322,Cowart,6
DB,4911,Archuleta,1
DB,6411,Harper,5

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,0
QB,1214,Favre,16
RB,6526,Duckett,6
RB,3207,Holmes,4
WR,1095,Bruce,0
WR,4906,Gardner,0
TE,3908,Kleinsasser,0
K ,1383,Kasay,13
Off,629,New Orleans,8
DL,4037,Gregg,7
DL,2952,Wiley,3
LB,2536,Gildon,3
LB,3937,Porter,4
DB,6532,Reed,9
DB,4939,Smoot,5

Freezer Burn
Pos,ID,Player,Pts
HC,1560,Reeves,0
QB,1434,Maddox,0
RB,6524,Green,-2
RB,4895,Tomlinson,32
WR,2986,Mason,0
WR,2705,Owens,1
TE,4924,Heap,2
K ,1641,Stover,4
Off,611,Denver,0
DL,6517,Henderson,9
DL,3902,Rucker,9
LB,3549,Fletcher,7
LB,2937,Sharper,5
DB,3905,Bly,9
DB,5673,Plummer,0

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,4
QB,6509,Carr,9
RB,5838,Anderson,0
RB,5654,Lewis,15
WR,5727,Coles,1
WR,6854,Parker,0
TE,4928,Crumpler,2
K ,6887,Reed,6
Off,627,Carolina,16
DL,5661,Ellis,6
DL,2922,Lang,2
LB,1904,Biekert,3
LB,3301,Spikes,5
DB,5664,O'Neal,2
DB,6516,Williams,8

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,5
QB,1234,Gannon,23
RB,2938,Barber,0
RB,1294,Hearst,4
WR,1094,Brown,4
WR,2745,Horn,2
TE,1605,Sharpe,10
K ,4883,Feely,3
Off,612,Kansas City,3
DL,3527,Hicks,3
DL,2932,Pryce,4
LB,2651,Lewis,11
LB,2758,Thomas,0
DB,3312,Darius,5
DB,2376,Lassiter,2

MeggaMen
Pos,ID,Player,Pts
HC,6497,Spurrier,3
QB,6540,Ramsey,0
RB,4954,Henry,0
RB,3298,Taylor,7
WR,5657,Burress,0
WR,2650,Moulds,9
TE,2895,Pollard,2
K ,5666,Janikowski,11
Off,623,Green Bay,16
DL,4897,Carter,2
DL,3344,Little,7
LB,5651,Arrington,5
LB,4933,Bell,6
DB,3887,Winfield,10
DB,1740,Woodson,4

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,3
QB,5429,Garcia,-8
RB,6564,Betts,6
RB,1237,Garner,7
WR,3870,Holt,21
WR,4929,Johnson,12
TE,2680,Conwell,3
K ,6776,Cundiff,5
Off,614,San Diego,20
DL,2977,Berry,1
DL,3307,Holliday,0
LB,4010,Barton,5
LB,5747,Diggs,19
DB,2928,Scott,4
DB,2960,Sharper,10

