WMFFL Scoring Breakdown for 2003 Week #6
Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,5
QB,5848,Brady,0
RB,5654,Lewis,7
RB,6559,Portis,0
WR,4946,Chambers,0
WR,4900,Robinson,0
TE,4928,Crumpler,-1
K ,1111,Carney,10
Off,627,Carolina,10
DL,5661,Ellis,7
DL,3880,Kearse,3
LB,5551,Maslowski,7
LB,3301,Spikes,4
DB,2679,Tongue,4
DB,6516,Williams,7

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,0
QB,1756,Collins,-3
RB,6592,Gordon,3
RB,4914,McAllister,5
WR,4077,Driver,3
WR,2656,Toomer,0
TE,6622,McMichael,7
K ,1873,Wilkins,10
Off,630,San Fran,4
DL,6519,Freeney,10
DL,2140,McGinest,3
LB,3300,Brooking,11
LB,4020,Foreman,4
DB,2337,Harrison,15
DB,3977,Jackson,5

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,3
QB,5429,Garcia,6
RB,5668,Alexander,6
RB,3369,Pittman,-1
WR,3870,Holt,29
WR,1623,Smith,2
TE,2680,Conwell,7
K ,6776,Cundiff,13
Off,625,Tampa Bay,7
DL,2977,Berry,9
DL,2333,Strahan,9
LB,5747,Diggs,1
LB,6614,Thornton,8
DB,2928,Scott,9
DB,2960,Sharper,4

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,5
QB,3291,Manning,8
RB,3353,Green,25
RB,3959,Zereoue,0
WR,3942,Booker,-2
WR,3896,Johnson,0
TE,2918,Gonzalez,14
K ,3114,Hall,9
Off,615,Seattle,6
DL,6510,Peppers,1
DL,5535,Whitehead,2
LB,6957,Barnett,7
LB,3349,Trotter,4
DB,5734,Wesley,10
DB,6553,Williams,7

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,0
QB,1234,Gannon,4
RB,2938,Barber,7
RB,1294,Hearst,4
WR,1094,Brown,0
WR,1795,Galloway,0
TE,1605,Sharpe,9
K ,3561,Vanderjagt,8
Off,612,Kansas City,6
DL,3297,Ellis,5
DL,2932,Pryce,8
LB,5689,Gold,0
LB,2651,Lewis,6
DB,3312,Darius,5
DB,2956,Minter,3

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,3
QB,1755,McNair,25
RB,2714,Davis,5
RB,6777,Williams,-4
WR,2649,Harrison,10
WR,3367,Ward,7
TE,5663,Franks,6
K ,1197,Elam,6
Off,603,Miami,3
DL,6612,Brown,4
DL,2646,Clemons,0
LB,2702,Bruschi,11
LB,5679,Bulluck,6
DB,6411,Harper,7
DB,3098,Stoutmire,3

MeggaMen
Pos,ID,Player,Pts
HC,6497,Spurrier,0
QB,3445,Hasselbeck,5
RB,4954,Henry,5
RB,3298,Taylor,3
WR,5657,Burress,1
WR,4035,Streets,2
TE,2946,Jones,9
K ,5666,Janikowski,1
Off,623,Green Bay,11
DL,4897,Carter,5
DL,3344,Little,5
LB,5651,Arrington,5
LB,1914,Brooks,23
DB,3176,Knight,6
DB,3887,Winfield,7

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,3
QB,1214,Favre,13
RB,3207,Holmes,16
RB,3869,Williams,5
WR,6982,Boldin,5
WR,1095,Bruce,5
TE,6522,Shockey,6
K ,1383,Kasay,12
Off,629,New Orleans,9
DL,4037,Gregg,4
DL,5835,Thomas,1
LB,3937,Porter,4
LB,5658,Urlacher,4
DB,6933,Newman,5
DB,6532,Reed,24

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,4
QB,3866,McNabb,2
RB,2917,Dunn,0
RB,2927,Smith,0
WR,5729,Jackson,1
WR,1844,Smith,9
TE,1825,Brady,1
K ,3143,Longwell,13
Off,602,Indianapolis,6
DL,1982,Douglas,4
DL,2210,Sapp,7
LB,2711,Edwards,0
LB,3466,Wayne,8
DB,3328,Kelly,0
DB,2123,Marion,6

Freezer Burn
Pos,ID,Player,Pts
HC,1560,Reeves,0
QB,5817,Bulger,21
RB,6524,Green,12
RB,5541,Mack,0
WR,1455,McCardell,2
WR,2705,Owens,0
TE,4924,Heap,0
K ,3579,Akers,3
Off,611,Denver,1
DL,2635,Rice,21
DL,3902,Rucker,3
LB,3549,Fletcher,8
LB,2937,Sharper,9
DB,5902,Green,4
DB,5673,Plummer,5

