WMFFL Scoring Breakdown for 2003 Week #11
Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,5
QB,1755,McNair,2
RB,2714,Davis,11
RB,3868,James,30
WR,3367,Ward,0
WR,5653,Warrick,26
TE,5663,Franks,0
K ,5822,Edinger,3
Off,629,New Orleans,9
DL,6612,Brown,6
DL,3103,Ferguson,3
LB,5679,Bulluck,13
LB,3322,Cowart,6
DB,4911,Archuleta,5
DB,3098,Stoutmire,5

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,0
QB,3291,Manning,14
RB,4982,Barlow,9
RB,3353,Green,12
WR,3309,Moss,0
WR,4907,Moss,6
TE,2918,Gonzalez,11
K ,3114,Hall,5
Off,616,Dallas,2
DL,3331,Mixon,4
DL,6510,Peppers,2
LB,6957,Barnett,15
LB,5716,Simoneau,4
DB,6986,Doss,2
DB,5734,Wesley,9

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,3
QB,3866,McNabb,17
RB,2917,Dunn,12
RB,1213,Faulk,6
WR,5729,Jackson,0
WR,1844,Smith,20
TE,1825,Brady,1
K ,1009,Andersen,7
Off,602,Indianapolis,11
DL,1982,Douglas,10
DL,2210,Sapp,2
LB,2911,Boulware,3
LB,2711,Edwards,13
DB,2020,Glenn,3
DB,2123,Marion,2

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,0
QB,5848,Brady,-1
RB,5668,Alexander,14
RB,3369,Pittman,0
WR,3870,Holt,17
WR,4929,Johnson,4
TE,2680,Conwell,0
K ,6776,Cundiff,0
Off,614,San Diego,1
DL,4770,Hall,3
DL,2333,Strahan,1
LB,6649,Davis,5
LB,6614,Thornton,7
DB,3318,Chavous,10
DB,2960,Sharper,10

Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,3
QB,5817,Bulger,10
RB,4895,Tomlinson,0
RB,2692,Williams,7
WR,1455,McCardell,7
WR,2705,Owens,19
TE,4924,Heap,4
K ,3579,Akers,4
Off,611,Denver,13
DL,2635,Rice,2
DL,3902,Rucker,3
LB,3549,Fletcher,6
LB,2937,Sharper,14
DB,3905,Bly,2
DB,3320,Parrish,10

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,3
QB,1265,Green,17
RB,6526,Duckett,6
RB,3207,Holmes,3
WR,6982,Boldin,3
WR,4906,Gardner,0
TE,1747,Wycheck,0
K ,1383,Kasay,8
Off,618,Philadelphia,7
DL,4037,Gregg,5
DL,2952,Wiley,5
LB,2536,Gildon,3
LB,3305,Simmons,5
DB,6933,Newman,3
DB,6532,Reed,12

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,0
QB,1349,Johnson,0
RB,2938,Barber,13
RB,1294,Hearst,1
WR,1094,Brown,0
WR,2745,Horn,0
TE,1605,Sharpe,25
K ,3561,Vanderjagt,8
Off,612,Kansas City,2
DL,3297,Ellis,4
DL,2932,Pryce,3
LB,2651,Lewis,8
LB,2758,Thomas,7
DB,3312,Darius,10
DB,2956,Minter,4

MeggaMen
Pos,ID,Player,Pts
HC,5646,Belichick,4
QB,3445,Hasselbeck,11
RB,7029,Davis,4
RB,6456,Shipp,-2
WR,5657,Burress,5
WR,4035,Streets,0
TE,2946,Jones,1
K ,5666,Janikowski,4
Off,623,Green Bay,16
DL,3880,Kearse,0
DL,2969,Taylor,6
LB,5651,Arrington,4
LB,3384,Barber,7
DB,2965,Barber,9
DB,3887,Winfield,9

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,4
QB,3875,Culpepper,12
RB,4954,Henry,7
RB,4914,McAllister,30
WR,3872,Boston,0
WR,2656,Toomer,2
TE,6622,McMichael,0
K ,1873,Wilkins,13
Off,630,San Fran,13
DL,6519,Freeney,2
DL,5961,Ogunleye,6
LB,3873,Claiborne,2
LB,6651,Fujita,4
DB,2337,Harrison,6
DB,3977,Jackson,9

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,3
QB,5667,Pennington,19
RB,5654,Lewis,0
RB,6559,Portis,5
WR,5727,Coles,0
WR,4974,Smith,-2
TE,3052,Mili,2
K ,1111,Carney,11
Off,627,Carolina,9
DL,5650,Brown,7
DL,5661,Ellis,6
LB,2736,Holmes,6
LB,3301,Spikes,4
DB,6516,Williams,1
DB,2652,Woods,2

