WMFFL Scoring Breakdown for 2003 Week #12
Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,0
QB,1265,Green,9
RB,3207,Holmes,21
RB,3869,Williams,17
WR,6982,Boldin,23
WR,4906,Gardner,0
TE,1747,Wycheck,14
K ,1383,Kasay,9
Off,618,Philadelphia,13
DL,4037,Gregg,5
DL,2952,Wiley,7
LB,2536,Gildon,7
LB,3305,Simmons,3
DB,6933,Newman,6
DB,6532,Reed,18

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,0
QB,1755,McNair,8
RB,2714,Davis,6
RB,3868,James,20
WR,3367,Ward,0
WR,5653,Warrick,0
TE,5663,Franks,0
K ,1197,Elam,4
Off,629,New Orleans,13
DL,3103,Ferguson,3
DL,6533,Grant,5
LB,5679,Bulluck,4
LB,3322,Cowart,3
DB,6411,Harper,7
DB,3098,Stoutmire,5

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,3
QB,3291,Manning,3
RB,4982,Barlow,0
RB,3353,Green,9
WR,3309,Moss,1
WR,4907,Moss,6
TE,2918,Gonzalez,2
K ,3114,Hall,11
Off,616,Dallas,3
DL,3331,Mixon,1
DL,6510,Peppers,5
LB,6957,Barnett,2
LB,3349,Trotter,6
DB,6986,Doss,3
DB,5734,Wesley,3

MeggaMen
Pos,ID,Player,Pts
HC,5646,Belichick,3
QB,5861,Rattay,4
RB,3298,Taylor,3
RB,6599,Westbrook,9
WR,5657,Burress,0
WR,2638,Glenn,2
TE,2946,Jones,1
K ,5666,Janikowski,7
Off,623,Green Bay,17
DL,2969,Taylor,7
DL,6937,Williams,2
LB,5651,Arrington,2
LB,1914,Brooks,1
DB,2965,Barber,3
DB,3887,Winfield,9

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,3
QB,1214,Favre,6
RB,5668,Alexander,1
RB,3369,Pittman,1
WR,3870,Holt,13
WR,4929,Johnson,28
TE,4043,Clark,2
K ,1641,Stover,16
Off,614,San Diego,4
DL,4770,Hall,3
DL,2333,Strahan,9
LB,6649,Davis,6
LB,6614,Thornton,10
DB,3318,Chavous,19
DB,2960,Sharper,5

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,3
QB,3875,Culpepper,-2
RB,4920,Bennett,7
RB,5654,Lewis,10
WR,6988,Calico,0
WR,4974,Smith,2
TE,4928,Crumpler,1
K ,1111,Carney,2
Off,627,Carolina,3
DL,5650,Brown,4
DL,5661,Ellis,4
LB,3937,Porter,1
LB,3301,Spikes,7
DB,6516,Williams,7
DB,2652,Woods,4

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,3
QB,3866,McNabb,11
RB,1213,Faulk,14
RB,2644,George,12
WR,5696,Porter,6
WR,1844,Smith,13
TE,1825,Brady,0
K ,1009,Andersen,10
Off,602,Indianapolis,5
DL,1982,Douglas,4
DL,2210,Sapp,15
LB,2911,Boulware,9
LB,2711,Edwards,13
DB,2020,Glenn,7
DB,2123,Marion,9

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,4
QB,1349,Johnson,7
RB,2938,Barber,1
RB,1294,Hearst,0
WR,1094,Brown,0
WR,2745,Horn,-1
TE,1605,Sharpe,1
K ,3561,Vanderjagt,3
Off,612,Kansas City,9
DL,3297,Ellis,2
DL,2932,Pryce,10
LB,2651,Lewis,16
LB,2758,Thomas,8
DB,3312,Darius,1
DB,2956,Minter,6

Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,3
QB,5817,Bulger,2
RB,4895,Tomlinson,14
RB,2692,Williams,1
WR,1455,McCardell,5
WR,2705,Owens,7
TE,4924,Heap,0
K ,3579,Akers,17
Off,611,Denver,12
DL,2635,Rice,6
DL,3902,Rucker,3
LB,3549,Fletcher,15
LB,2937,Sharper,14
DB,3905,Bly,11
DB,2681,Dawkins,0

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,4
QB,3995,Brooks,6
RB,4914,McAllister,29
RB,6559,Portis,12
WR,3872,Boston,24
WR,6527,Lelie,0
TE,6622,McMichael,1
K ,1873,Wilkins,13
Off,630,San Fran,0
DL,5662,Abraham,0
DL,6519,Freeney,5
LB,3873,Claiborne,3
LB,6651,Fujita,10
DB,2337,Harrison,11
DB,2669,Thomas,1

