WMFFL Scoring Breakdown for 2003 Week #14
Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,3
QB,3291,Manning,2
RB,4982,Barlow,15
RB,3353,Green,9
WR,3309,Moss,23
WR,4907,Moss,1
TE,2918,Gonzalez,4
K ,3114,Hall,9
Off,616,Dallas,6
DL,3331,Mixon,1
DL,6510,Peppers,7
LB,5665,Peterson,15
LB,5716,Simoneau,2
DB,6986,Doss,9
DB,5734,Wesley,4

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,5
QB,3995,Brooks,0
RB,4914,McAllister,2
RB,6559,Portis,49
WR,3872,Boston,0
WR,2656,Toomer,0
TE,6437,Williams,8
K ,1873,Wilkins,14
Off,630,San Fran,19
DL,6519,Freeney,4
DL,5961,Ogunleye,8
LB,4020,Foreman,7
LB,6651,Fujita,3
DB,2337,Harrison,13
DB,3977,Jackson,2

Werewolves
Pos,ID,Player,Pts
HC,1392,Vermeil,0
QB,3196,Kitna,-3
RB,5668,Alexander,4
RB,1016,Anderson,4
WR,3870,Holt,0
WR,4929,Johnson,0
TE,5663,Franks,2
K ,1641,Stover,7
Off,614,San Diego,9
DL,4770,Hall,5
DL,2333,Strahan,12
LB,6649,Davis,3
LB,6614,Thornton,8
DB,3318,Chavous,5
DB,2743,Coleman,4

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,0
QB,1265,Green,18
RB,6526,Duckett,4
RB,3207,Holmes,16
WR,6982,Boldin,15
WR,1095,Bruce,6
TE,1747,Wycheck,1
K ,1383,Kasay,2
Off,618,Philadelphia,9
DL,4037,Gregg,3
DL,2952,Wiley,2
LB,3305,Simmons,1
LB,5658,Urlacher,3
DB,6933,Newman,4
DB,6532,Reed,5

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,5
QB,1349,Johnson,11
RB,2938,Barber,6
RB,1294,Hearst,0
WR,1094,Brown,0
WR,2745,Horn,10
TE,1605,Sharpe,4
K ,3561,Vanderjagt,17
Off,612,Kansas City,3
DL,3297,Ellis,4
DL,2932,Pryce,1
LB,2651,Lewis,13
LB,2758,Thomas,4
DB,3312,Darius,7
DB,2956,Minter,6

Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,3
QB,5817,Bulger,6
RB,4895,Tomlinson,34
RB,3869,Williams,1
WR,2705,Owens,18
WR,2995,Robinson,6
TE,4924,Heap,0
K ,3579,Akers,10
Off,611,Denver,28
DL,2635,Rice,15
DL,3902,Rucker,5
LB,3549,Fletcher,10
LB,2937,Sharper,9
DB,3905,Bly,4
DB,3320,Parrish,9

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,4
QB,1755,McNair,23
RB,2714,Davis,8
RB,3868,James,16
WR,2649,Harrison,12
WR,3367,Ward,0
TE,5676,Becht,0
K ,1197,Elam,10
Off,629,New Orleans,-5
DL,6612,Brown,1
DL,6533,Grant,1
LB,5679,Bulluck,10
LB,3322,Cowart,4
DB,4911,Archuleta,2
DB,6411,Harper,0

Rednecks
Pos,ID,Player,Pts
HC,1534,Fisher,0
QB,3875,Culpepper,20
RB,4920,Bennett,3
RB,5654,Lewis,28
WR,5727,Coles,0
WR,4900,Robinson,0
TE,4928,Crumpler,2
K ,1111,Carney,1
Off,627,Carolina,3
DL,5650,Brown,0
DL,5661,Ellis,5
LB,3937,Porter,3
LB,3301,Spikes,4
DB,6516,Williams,6
DB,2652,Woods,5

Green Wave
Pos,ID,Player,Pts
HC,1705,Wannstedt,0
QB,3866,McNabb,21
RB,1213,Faulk,10
RB,2644,George,0
WR,5729,Jackson,2
WR,1844,Smith,8
TE,1825,Brady,0
K ,1009,Andersen,3
Off,602,Indianapolis,4
DL,1982,Douglas,2
DL,2210,Sapp,10
LB,2911,Boulware,15
LB,2711,Edwards,8
DB,2020,Glenn,3
DB,2123,Marion,9

MeggaMen
Pos,ID,Player,Pts
HC,5646,Belichick,4
QB,3445,Hasselbeck,-3
RB,6456,Shipp,0
RB,3298,Taylor,14
WR,5657,Burress,6
WR,4946,Chambers,0
TE,2946,Jones,1
K ,5666,Janikowski,1
Off,623,Green Bay,6
DL,3344,Little,10
DL,2969,Taylor,5
LB,3384,Barber,7
LB,3300,Brooking,9
DB,3176,Knight,11
DB,3887,Winfield,6

