WMFFL Scoring Breakdown for 2003 Week #15
Freezer Burn
Pos,ID,Player,Pts
HC,1746,Dungy,6
QB,4891,Vick,-4
RB,4895,Tomlinson,30
RB,3869,Williams,10
WR,1455,McCardell,1
WR,2705,Owens,16
TE,4924,Heap,12
K ,3579,Akers,12
Off,611,Denver,9
DL,2635,Rice,2
DL,3902,Rucker,0
LB,3549,Fletcher,6
LB,2937,Sharper,15
DB,3905,Bly,3
DB,3320,Parrish,3

War Eagles
Pos,ID,Player,Pts
HC,3622,Reid,3
QB,3995,Brooks,33
RB,4914,McAllister,12
RB,6559,Portis,20
WR,3942,Booker,0
WR,3872,Boston,0
TE,6437,Williams,2
K ,1873,Wilkins,10
Off,630,San Fran,13
DL,6519,Freeney,2
DL,5961,Ogunleye,2
LB,1900,Barrow,9
LB,4020,Foreman,6
DB,2337,Harrison,9
DB,2669,Thomas,18

Illuminati
Pos,ID,Player,Pts
HC,5648,Haslett,6
QB,1265,Green,25
RB,6526,Duckett,8
RB,3207,Holmes,26
WR,6982,Boldin,5
WR,1095,Bruce,6
TE,1747,Wycheck,0
K ,1383,Kasay,9
Off,618,Philadelphia,10
DL,4037,Gregg,6
DL,2952,Wiley,3
LB,3305,Simmons,10
LB,5658,Urlacher,6
DB,6933,Newman,19
DB,6532,Reed,3

Crusaders
Pos,ID,Player,Pts
HC,1545,Shanahan,3
QB,1755,McNair,0
RB,2714,Davis,2
RB,3868,James,5
WR,2649,Harrison,18
WR,3367,Ward,1
TE,5676,Becht,1
K ,1197,Elam,13
Off,629,New Orleans,6
DL,6612,Brown,10
DL,6533,Grant,7
LB,5679,Bulluck,15
LB,3322,Cowart,0
DB,4911,Archuleta,12
DB,6411,Harper,1

Whiskey Tango
Pos,ID,Player,Pts
HC,1669,Tice,0
QB,1349,Johnson,2
RB,2938,Barber,0
RB,1294,Hearst,0
WR,1094,Brown,6
WR,2745,Horn,36
TE,1605,Sharpe,7
K ,3561,Vanderjagt,9
Off,612,Kansas City,13
DL,3297,Ellis,5
DL,2932,Pryce,0
LB,2651,Lewis,8
LB,2758,Thomas,13
DB,3312,Darius,4
DB,2956,Minter,22

Norsemen
Pos,ID,Player,Pts
HC,3486,Gruden,4
QB,3291,Manning,34
RB,4982,Barlow,19
RB,3353,Green,13
WR,3309,Moss,15
WR,4907,Moss,1
TE,2918,Gonzalez,18
K ,3114,Hall,0
Off,616,Dallas,15
DL,3331,Mixon,2
DL,6510,Peppers,9
LB,5665,Peterson,4
LB,5716,Simoneau,5
DB,6986,Doss,2
DB,5734,Wesley,7

