WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,5647,Martz,0*,3*,0x,5x,0b,6x,4x,4x,0x,4x,3x,3x,6x,3x,3x,44
HC,1392,Vermeil,4x,5x,5 ,3*,3*,3*,3*,6*,0B,5*,0*,3*,3*,0*,5 ,48
QB,5848,Brady,-8x,21x,0x,10x,5x,0x,12x,3x,20x,0b,-1*,12 ,6 ,0 ,14 ,94
QB,1214,Favre,2x,10x,6x,16x,12x,13x,13x,0b,16x,-2x,4x,6*,8 ,5 ,26 ,135
QB,1225,Frerotte,0x,0x,2x,27x,12 ,0b,0 ,0 ,0 ,0 ,0x,0x,0x,0x,0x,41
QB,5429,Garcia,17*,12*,-2*,-8*,16*,6*,11*,4*,0 ,0b,0 ,0 ,-8 ,40 ,22 ,110
QB,3196,Kitna,1 ,7 ,4 ,19 ,-3 ,0b,22 ,15 ,-1*,5*,14 ,25 ,22*,-3*,12 ,139
QB,4956,Tuiasosopo,0x,0x,-2x,0x,0x,0x,0x,0b,-6x,0x,0x,0x,0x,0x,0x,-8
RB,5668,Alexander,18*,6*,0*,0b,9*,6*,18*,16*,6*,7*,14*,1*,13*,4*,13 ,131
RB,1016,Anderson,0x,0x,0b,2x,6x,0x,0x,1x,0x,0x,6x,2x,12 ,4*,7 ,40
RB,4982,Barlow,0 ,8 ,0 ,1 ,-2 ,0 ,1x,-2x,4x,0b,9x,0x,0x,15x,19x,53
RB,6564,Betts,2 ,6 ,3 ,6*,0 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17
RB,1237,Garner,17*,5*,0*,7*,3*,6 ,8*,0b,7*,0 ,0 ,0 ,-2 ,0 ,0 ,51
RB,3369,Pittman,0x,2x,19 ,0b,8 ,-1*,8 ,5*,9 ,4*,0*,1*,0*,0 ,1 ,56
RB,2927,Smith,0 ,0 ,0x,1x,10x,0x,0x,0x,2x,0b,6x,0x,0x,0x,4x,23
WR,2913,Hilliard,-2x,11x,15 ,0b,3*,1 ,0x,21x,7x,0x,0x,0x,1x,0x,0x,57
WR,3870,Holt,14*,8*,2*,21*,0b,29*,12*,20*,27*,0*,17*,13*,8*,0*,12 ,183
WR,4929,Johnson,11*,11 ,1*,12*,2*,0b,14*,8*,1*,7*,4*,28*,13*,0*,11 ,123
WR,2633,Johnson,4 ,9*,0 ,0b,0x,8x,0x,6x,12x,9x,0x,0x,0x,0x,0x,48
WR,1623,Smith,0 ,0 ,0 ,0 ,11 ,2*,0b,6 ,2 ,8 ,0 ,2 ,17 ,6 ,1 ,55
TE,4043,Clark,7x,2x,0b,3x,-1x,1x,1x,0x,0x,8x,2x,2*,1x,-1x,1x,26
TE,2680,Conwell,2x,6x,2x,3*,2*,7*,1*,1*,0*,0b,0*,0x,0x,0x,0x,24
TE,5663,Franks,3x,1x,1x,7x,1x,6x,2x,0b,0x,0x,0x,0x,8 ,2*,0 ,31
TE,4082,Miller,1*,1*,1*,1x,0b,3x,0x,8x,8*,0*,0 ,6x,2x,2x,1x,34
K ,6776,Cundiff,0x,27x,0b,5*,8*,13*,8*,0*,3*,6*,0*,6x,3x,4x,9x,92
K ,3944,Gramatica,5*,3*,7*,0b,5x,5x,1x,12x,2x,6x,8x,5x,5x,2x,10x,76
K ,1641,Stover,1x,13x,7x,4x,0b,14x,4x,14x,10x,12x,7x,16*,16*,7*,6 ,131
Off,614,San Diego,0*,8*,7*,20*,0*,0b,16*,0*,6*,17*,1*,4*,9*,9*,1 ,98
Off,625,Tampa Bay,5x,2x,8x,0b,9 ,7*,1 ,4x,0x,0x,6x,2x,2x,3x,13x,62
DL,2977,Berry,7x,1x,8x,1*,1*,9*,1*,2*,2*,0b,0 ,1 ,0x,10x,4x,47
DL,4770,Hall,6x,4x,1x,6x,6x,0b,2x,6x,7x,3x,3*,3*,2*,5*,1 ,55
DL,3307,Holliday,13 ,1 ,4*,0*,1 ,0 ,2 ,1 ,0b,4*,5 ,4 ,4 ,0 ,3 ,42
DL,2333,Strahan,8*,1*,3*,0b,11*,9*,13*,10*,5*,5*,1*,9*,5*,12*,4 ,96
DL,2969,Taylor,0*,1*,0 ,0b,2x,18x,6x,12x,4x,2x,6x,7x,15x,5x,5x,83
LB,6597,Ayodele,15x,1 ,6 ,6x,3x,7x,0b,4x,16x,10x,5x,4x,4x,5x,7x,93
LB,4010,Barton,8*,8*,4 ,5*,7 ,7 ,5*,0b,9*,7*,5 ,7 ,9 ,10 ,5 ,96
LB,1916,Brown,8 ,9 ,4*,0b,8x,13x,8x,0x,10x,6x,5x,2x,6x,7x,7x,93
LB,6649,Davis,8x,11x,9x,6 ,4 ,6 ,3*,4*,0b,22 ,5*,6*,15*,3*,7 ,109
LB,5747,Diggs,9 ,10*,2*,19*,1*,1*,3 ,0b,0 ,7 ,7x,9x,4x,6x,4x,82
LB,5551,Maslowski,2*,5 ,4x,9x,5x,7x,4x,9x,0b,4x,6x,0x,0x,0x,0x,55
LB,6614,Thornton,2x,11x,10x,14 ,10*,8*,0b,4*,4*,9*,7*,10*,9*,8*,5 ,111
DB,3318,Chavous,15x,2x,7x,11x,8x,0b,9*,14*,13*,2*,10*,19*,3*,5*,3 ,121
DB,2743,Coleman,16x,3x,10x,12x,0b,5x,4*,4*,5 ,3 ,0 ,9 ,16 ,4*,5 ,96
DB,2928,Scott,4*,16*,6*,4*,5*,9*,0b,3 ,11 ,1 ,5 ,12 ,3 ,0 ,0 ,79
DB,2960,Sharper,2*,5*,8*,10*,10*,4*,17 ,0b,3*,6*,10*,5*,0*,9 ,13 ,102
DB,4962,Wilson,2 ,5 ,6 ,5x,5x,8x,0b,5x,4x,4x,6x,13x,5x,5x,3x,76
,,Starter Points = ,107,96,43,108,84,112,126,98,85,84,71,126,118,60,0
,,Potential Points = ,127,103,89,144,113,125,151,109,98,108,90,154,165,121,118
,,Offensive Points = ,83,55,16,69,46,72,91,60,49,51,35,74,84,23,0
,,Defensive Points = ,24,41,27,39,38,40,35,38,36,33,36,52,34,37,0
,,Total Points For = ,60,20,0,35,24,41,64,34,13,24,2,47,48,5,0

Rednecks
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,1534,Fisher,3*,0*,4*,4*,0*,5*,5*,4*,0B,5*,3*,3*,0*,0*,3 ,39
QB,1064,Bledsoe,6 ,17*,-4*,14 ,5*,-3x,5x,-10x,0b,-4x,-2x,4x,13x,2x,10x,53
QB,5848,Brady,-8*,21 ,0 ,10 ,5 ,0*,12x,3x,20x,0b,-1x,12x,6x,0x,14x,94
QB,6509,Carr,9x,4x,2x,9*,0b,13 ,0*,6 ,0x,10x,-4x,0x,-2x,0x,0x,47
QB,3875,Culpepper,16x,8x,12x,0x,0x,0b,16x,10x,19x,31x,12x,-2*,9*,20*,6 ,157
QB,6935,Leftwich,0x,6x,6x,0x,14 ,0 ,0b,0*,-1 ,12 ,-6 ,-2 ,14 ,6 ,4 ,53
QB,5667,Pennington,0 ,0 ,0x,0x,0b,0x,0 ,-2 ,20*,15*,19*,6 ,10 ,-4 ,-4 ,60
RB,5838,Anderson,0x,7x,5x,0*,0x,0x,6x,0x,6x,0b,0x,0x,0x,0x,0x,24
RB,4920,Bennett,0x,0x,0 ,0 ,0 ,0b,0 ,0 ,0 ,-2*,1 ,7*,6*,3*,0 ,15
RB,5654,Lewis,5*,35*,11*,15*,0b,7*,4*,14*,2*,9*,0*,10*,7*,28*,6 ,153
RB,6951,McGahee,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,0 ,0
RB,7027,Pinner,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,0 ,0 ,0 ,0 ,0
RB,6559,Portis,22*,6*,0*,0 ,19*,0*,16*,7*,13*,0b,5*,12x,25x,49x,20x,194
RB,7033,Smith,0 ,0 ,0 ,6x,4x,0b,6x,0x,0x,0x,0x,0x,0x,-2x,9x,23
WR,6573,Branch,0x,10x,0x,0x,1x,0x,2x,0x,10x,0b,0x,1 ,8 ,5 ,0 ,37
WR,6988,Calico,6x,6x,0x,0x,5x,3x,0x,6x,0b,6x,0 ,0*,0 ,0 ,0 ,32
WR,4946,Chambers,22 ,3 ,7 ,0b,0*,0*,4x,8x,6x,0x,0x,0x,22x,0x,3x,75
WR,5727,Coles,5*,25*,9*,1*,1*,2 ,0*,0b,6*,14*,0*,6 ,4*,0*,0 ,73
WR,2913,Hilliard,-2x,11x,15x,0b,3x,1x,0x,21x,7 ,0*,0x,0x,1x,0x,0x,57
WR,4900,Robinson,6*,0*,12*,0b,5 ,0*,-2*,0*,0 ,3 ,6 ,6 ,8*,0*,1 ,45
WR,6930,Rogers,12 ,0 ,2 ,6 ,0 ,0b,0x,0x,0x,0x,0x,0x,0x,0x,0x,20
WR,4974,Smith,4x,0x,0b,1x,0x,13x,20 ,8*,8*,13 ,-2*,2*,8 ,3 ,8 ,86
WR,6521,Stallworth,8x,6x,-2x,0x,0x,-4 ,6 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,14
TE,4928,Crumpler,11*,8*,1*,2*,2*,-1*,1*,0b,0 ,1 ,0 ,1*,2*,2*,1 ,31
TE,6563,Jolley,2 ,0 ,2 ,9 ,2 ,1 ,0 ,0b,0x,0x,0x,0x,0x,0x,0x,16
TE,3052,Mili,0x,1x,1x,0b,2x,6x,0x,16 ,1*,1*,2*,2 ,6 ,0 ,2 ,40
K ,1111,Carney,4x,7x,4x,8x,7*,10*,10*,10*,6*,0b,11*,2*,6*,1*,9 ,95
K ,6610,Chandler,18 ,6*,0x,0x,0x,0x,0x,0x,0x,0b,0x,0x,0x,0x,0x,24
K ,6887,Reed,10x,10x,4*,6*,7*,6 ,0b,3 ,11 ,3*,2 ,8x,8x,11x,-1x,88
Off,627,Carolina,3x,10 ,0b,16*,15*,10*,0*,17*,13*,1*,9*,3*,5*,3*,2 ,107
Off,624,Minnesota,7x,12 ,6*,3x,10x,0b,2x,4x,5x,2x,1x,4x,0x,11x,9x,76
Off,628,St. Louis,-2*,0x,6x,8x,0b,8x,6x,4x,-1x,2x,2x,3x,11x,2x,3x,52
DL,5650,Brown,4x,2x,8x,3x,11x,9 ,7*,1*,0b,1*,7*,4*,2*,0*,0 ,59
DL,5661,Ellis,9 ,9*,9*,6*,0b,7*,6*,4*,2*,2*,6*,4*,2*,5*,1 ,72
DL,2768,Glover,3 ,0x,0b,3x,10x,5x,4x,1x,0x,9x,1x,3x,4x,1x,4x,48
DL,2923,Holmes,16x,8x,4x,0b,5*,1 ,6 ,4 ,0*,1 ,0 ,0x,0x,0x,0x,45
DL,3880,Kearse,4*,3*,0 ,6 ,10*,3x,8x,2x,0b,9x,0x,0x,0x,0x,1x,46
