WMFFL Scores for 2003 Week #14
WMFFL Standings after 2003 Week #14
Burgandy Division,,,,Pts,Pts
,W,L,T,For,Ag
y-War Eagles,11,1,2,430,295
x-Illuminati,8,5,1,393,229
x-Freezer Burn,7,6,1,345,211
Werewolves,7,7,0,425,368
z-Norsemen,5,9,0,469,492
Gold Division,,,,Pts,Pts
,W,L,T,For,Ag
y-Crusaders,8,5,1,392,430
MeggaMen,6,6,2,308,235
Rednecks,5,6,3,276,364
Green Wave,3,9,2,155,355
z-Whiskey Tango,3,9,2,129,343

,,,,,,,,,,x- clinched playoff berth
,,,,,,,,,,y- clinched division title
,,,,,,,,,,z- clinched Toliet Bowl berth

